****************************************************************************************************Id:0****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:1153.7346551456242
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1350.1153883573606
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:1655.8363418916836
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3817.812981982133
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:3915.9481534564948
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4479.715758586107
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5145.863473096846
Id:0x3f88afbd, Parent:0x44b97697, Miner: [Id:6    , Balance:107       ], Txns:1    , Time:6490.546146804577
Id:0x56a7b7a4, Parent:0x44b97697, Miner: [Id:51   , Balance:150       ], Txns:2    , Time:6711.360323260451
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:7845.973262899981
Id:0x0d1c5780, Parent:0x40230bc8, Miner: [Id:5    , Balance:150       ], Txns:2    , Time:8696.51296846452
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:9150.082134946962
Id:0x31244099, Parent:0x40230bc8, Miner: [Id:46   , Balance:0         ], Txns:1    , Time:9483.320826250687
Id:0x6c6141e3, Parent:0x0d1c5780, Miner: [Id:41   , Balance:100       ], Txns:1    , Time:9764.808814932394
Id:0x44a02d88, Parent:0x54c89f41, Miner: [Id:54   , Balance:0         ], Txns:3    , Time:9935.1631483568
Id:0x64005036, Parent:0x6c6141e3, Miner: [Id:4    , Balance:70        ], Txns:3    , Time:11197.122445743911
Id:0x51d3f9a9, Parent:0x64005036, Miner: [Id:5    , Balance:150       ], Txns:1    , Time:12109.119642584637
Id:0x457617a9, Parent:0x64005036, Miner: [Id:35   , Balance:0         ], Txns:1    , Time:12581.463024792754
Id:0x7685abf8, Parent:0x51d3f9a9, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:13164.019168202996
Id:0x25cc61f2, Parent:0x7685abf8, Miner: [Id:11   , Balance:102       ], Txns:5    , Time:14465.728764944195
Id:0x30219e05, Parent:0x7685abf8, Miner: [Id:38   , Balance:50        ], Txns:2    , Time:14669.50128540241
Id:0x325c26b2, Parent:0x30219e05, Miner: [Id:22   , Balance:52        ], Txns:1    , Time:16292.07261102748
Id:0x40c73474, Parent:0x30219e05, Miner: [Id:44   , Balance:50        ], Txns:7    , Time:16400.130824586206
Id:0x63450bb0, Parent:0x325c26b2, Miner: [Id:37   , Balance:102       ], Txns:2    , Time:17171.447637479232
Id:0x4dba2a59, Parent:0x325c26b2, Miner: [Id:48   , Balance:0         ], Txns:23   , Time:17280.28142868634
Id:0x2c384d88, Parent:0x63450bb0, Miner: [Id:50   , Balance:100       ], Txns:4    , Time:17748.658727576396
Id:0x3fbb6dbf, Parent:0x4dba2a59, Miner: [Id:51   , Balance:150       ], Txns:3    , Time:17907.261225319075
Id:0x0a484093, Parent:0x4dba2a59, Miner: [Id:12   , Balance:0         ], Txns:1    , Time:18143.97041044109
Id:0x46c73bd6, Parent:0x2c384d88, Miner: [Id:37   , Balance:102       ], Txns:3    , Time:19409.482999363692
Id:0x2a893ef6, Parent:0x2c384d88, Miner: [Id:19   , Balance:102       ], Txns:2    , Time:19896.08555752467
Id:0x621f5f8f, Parent:0x3f88afbd, Miner: [Id:0    , Balance:2         ], Txns:1    , Time:20824.00824391012
Id:0x6de2dbc1, Parent:0x7685abf8, Miner: [Id:0    , Balance:2         ], Txns:3    , Time:25887.349790446824
Id:0x65fbd10e, Parent:0x63450bb0, Miner: [Id:0    , Balance:2         ], Txns:2    , Time:31915.34456409377
Id:0x5eee7d1c, Parent:0x40230bc8, Miner: [Id:0    , Balance:2         ], Txns:4    , Time:32657.671537979037
Id:0x7148bc00, Parent:0x4263baa8, Miner: [Id:0    , Balance:2         ], Txns:1    , Time:34328.19701392149
Id:0x3445fb21, Parent:0x44b97697, Miner: [Id:0    , Balance:2         ], Txns:1    , Time:40768.846625753045
Id:0x2c11a902, Parent:0x64005036, Miner: [Id:0    , Balance:2         ], Txns:3    , Time:41830.094396608154
Id:0x0ac16945, Parent:0x65d80c3f, Miner: [Id:0    , Balance:2         ], Txns:1    , Time:52439.50910710893
Id:0x71536cd1, Parent:0x6c6141e3, Miner: [Id:0    , Balance:2         ], Txns:1    , Time:55035.15948980899
Id:0x069d52ae, Parent:0x0d1c5780, Miner: [Id:0    , Balance:2         ], Txns:2    , Time:58850.550254671434
Id:0x7df8567a, Parent:0x2c384d88, Miner: [Id:0    , Balance:2         ], Txns:3    , Time:62197.09124360861
Id:0x2083ec1b, Parent:0x325c26b2, Miner: [Id:0    , Balance:2         ], Txns:2    , Time:63828.69589939184
****************************************************************************************************Id:1****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:1244.457464829271
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1316.1001257397004
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:1514.090399113358
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:3796.761468440853
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3914.7638979606286
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4539.93906679131
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5501.331256959576
